PRES,Date/Time,Exact Time [ns]
"[103, 169, 105, 110, 107, 102]",2025-05-02 15:35:06.390141,1135143516951
"[103, 169, 105, 101, 107, 101]",2025-05-02 15:35:07.390560,1136143918710
"[102, 164, 105, 104, 110, 102]",2025-05-02 15:35:08.390921,1137144281691
"[103, 164, 103, 102, 110, 102]",2025-05-02 15:35:09.391251,1138144620153
"[102, 173, 103, 103, 110, 102]",2025-05-02 15:35:10.391604,1139144964652
"[103, 167, 100, 102, 110, 102]",2025-05-02 15:35:11.391910,1140145270726
"[102, 172, 105, 102, 107, 102]",2025-05-02 15:35:12.392289,1141145649707
"[103, 162, 105, 103, 110, 103]",2025-05-02 15:35:13.392618,1142145978873
"[102, 163, 106, 103, 110, 103]",2025-05-02 15:35:14.392959,1143146348650
"[102, 168, 104, 102, 110, 103]",2025-05-02 15:35:15.393338,1144146699186
"[101, 164, 105, 103, 111, 103]",2025-05-02 15:35:16.393692,1145147051852
"[102, 158, 105, 101, 109, 104]",2025-05-02 15:35:17.394043,1146147416704
"[103, 161, 107, 102, 110, 103]",2025-05-02 15:35:18.394406,1147147767444
"[103, 163, 104, 103, 110, 102]",2025-05-02 15:35:19.394808,1148148169814
"[102, 160, 106, 104, 107, 103]",2025-05-02 15:35:20.395173,1149148535646
"[103, 164, 107, 103, 110, 103]",2025-05-02 15:35:21.395543,1150148904720
"[101, 160, 106, 103, 110, 103]",2025-05-02 15:35:22.395896,1151149255867
"[106, 164, 103, 101, 111, 102]",2025-05-02 15:35:23.396247,1152149608126
"[103, 165, 106, 103, 110, 103]",2025-05-02 15:35:24.396601,1153149962070
"[102, 163, 105, 103, 110, 103]",2025-05-02 15:35:25.397000,1154150374292
"[103, 165, 105, 103, 110, 103]",2025-05-02 15:35:26.397437,1155150797235
"[102, 164, 104, 103, 110, 103]",2025-05-02 15:35:27.397772,1156151132790
"[103, 162, 106, 102, 110, 103]",2025-05-02 15:35:28.398095,1157151455253
"[102, 164, 105, 104, 107, 102]",2025-05-02 15:35:29.398452,1158151814956
"[102, 161, 105, 102, 111, 103]",2025-05-02 15:35:30.398951,1159152312252
"[102, 162, 105, 103, 108, 103]",2025-05-02 15:35:31.402557,1160155919140
"[102, 162, 105, 102, 110, 105]",2025-05-02 15:35:32.402978,1161156340639
"[102, 162, 106, 103, 110, 103]",2025-05-02 15:35:33.403435,1162156797694
"[102, 165, 105, 102, 110, 103]",2025-05-02 15:35:34.403849,1163157209934
"[102, 163, 105, 102, 110, 102]",2025-05-02 15:35:35.404198,1164157559619
"[101, 162, 105, 102, 109, 102]",2025-05-02 15:35:36.404539,1165157898192
"[102, 168, 104, 102, 111, 103]",2025-05-02 15:35:37.404854,1166158214877
"[102, 162, 106, 103, 110, 103]",2025-05-02 15:35:38.405173,1167158532747
"[101, 160, 105, 103, 107, 103]",2025-05-02 15:35:39.405519,1168158879042
"[102, 155, 104, 105, 110, 103]",2025-05-02 15:35:40.405939,1169159299468
