COND,Date/Time,Exact Time [ns]
0.0,2025-05-02 16:05:03.264164,2932017546176
0.0,2025-05-02 16:05:04.264770,2933018134657
0.0,2025-05-02 16:05:05.265233,2934018598434
0.0,2025-05-02 16:05:06.265982,2935019347063
0.0,2025-05-02 16:05:07.266806,2936020169952
0.0,2025-05-02 16:05:08.267854,2937021265118
0.0,2025-05-02 16:05:09.268500,2938021864080
0.0,2025-05-02 16:05:10.269034,2939022405042
0.0,2025-05-02 16:05:11.269533,2940022896597
0.0,2025-05-02 16:05:12.270316,2941023679486
0.0,2025-05-02 16:05:13.270950,2942024314115
0.0,2025-05-02 16:05:14.271462,2943024826410
