COND,Date/Time,Exact Time [ns]
680.8,2025-05-02 15:50:04.355364,2033108743990
681.2,2025-05-02 15:50:05.355922,2034109285952
680.1,2025-05-02 15:50:06.356413,2035109777174
680.5,2025-05-02 15:50:07.356873,2036110237395
680.8,2025-05-02 15:50:08.357364,2037110728450
681.2,2025-05-02 15:50:09.357877,2038111240579
680.8,2025-05-02 15:50:10.358317,2039111680616
681.6,2025-05-02 15:50:11.358777,2040112141356
681.3,2025-05-02 15:50:12.359225,2041112589448
681.1,2025-05-02 15:50:13.359689,2042113053096
680.9,2025-05-02 15:50:14.360131,2043113495169
681.2,2025-05-02 15:50:15.360591,2044113955150
681.1,2025-05-02 15:50:16.361032,2045114395446
680.5,2025-05-02 15:50:17.361476,2046114840612
680.7,2025-05-02 15:50:18.361937,2047115301185
680.4,2025-05-02 15:50:19.362415,2048115779203
680.7,2025-05-02 15:50:20.362861,2049116225647
680.7,2025-05-02 15:50:21.363357,2050116721165
680.0,2025-05-02 15:50:22.363794,2051117158775
680.8,2025-05-02 15:50:23.364241,2052117604960
680.0,2025-05-02 15:50:24.364686,2053118050552
681.1,2025-05-02 15:50:25.365132,2054118496663
680.9,2025-05-02 15:50:26.365564,2055118928810
680.6,2025-05-02 15:50:27.366026,2056119390180
680.8,2025-05-02 15:50:28.366477,2057119840050
680.2,2025-05-02 15:50:29.366961,2058120325493
679.4,2025-05-02 15:50:30.367408,2059120772437
680.0,2025-05-02 15:50:31.367877,2060121240363
681.0,2025-05-02 15:50:32.368309,2061121672788
680.6,2025-05-02 15:50:33.368769,2062122132973
680.7,2025-05-02 15:50:34.369209,2063122572750
680.7,2025-05-02 15:50:35.369662,2064123026101
680.2,2025-05-02 15:50:36.370109,2065123472137
680.6,2025-05-02 15:50:37.370548,2066123913081
680.0,2025-05-02 15:50:38.371034,2067124397155
678.5,2025-05-02 15:50:39.371494,2068124858247
679.9,2025-05-02 15:50:40.371984,2069125347302
679.4,2025-05-02 15:50:41.372421,2070125784468
679.2,2025-05-02 15:50:42.372879,2071126243375
680.2,2025-05-02 15:50:43.373333,2072126696281
677.0,2025-05-02 15:50:44.373764,2073127128947
679.7,2025-05-02 15:50:45.374224,2074127586873
680.2,2025-05-02 15:50:46.374669,2075128033057
679.6,2025-05-02 15:50:47.375124,2076128488168
679.7,2025-05-02 15:50:48.375584,2077128948797
679.8,2025-05-02 15:50:49.376025,2078129389630
679.9,2025-05-02 15:50:50.376467,2079129830018
