PRES,Date/Time,Exact Time [ns]
[''],2025-05-02 15:48:25.109243,1933862644808
[''],2025-05-02 15:48:26.111426,1934864794289
[''],2025-05-02 15:48:27.113409,1935866777640
[''],2025-05-02 15:48:28.115367,1936868736788
[''],2025-05-02 15:48:29.117301,1937870669398
[''],2025-05-02 15:48:30.119229,1938872597250
[''],2025-05-02 15:48:31.121118,1939874486601
[''],2025-05-02 15:48:32.123085,1940876455341
[''],2025-05-02 15:48:33.125024,1941878392692
[''],2025-05-02 15:48:34.127000,1942880367192
[''],2025-05-02 15:48:35.128944,1943882313654
[''],2025-05-02 15:48:36.130898,1944884266339
[''],2025-05-02 15:48:37.132909,1945886279727
[''],2025-05-02 15:48:38.134881,1946888250226
[''],2025-05-02 15:48:39.136783,1947890151707
[''],2025-05-02 15:48:40.138752,1948892122985
[''],2025-05-02 15:48:41.140608,1949893973336
[''],2025-05-02 15:48:42.142490,1950895862039
[''],2025-05-02 15:48:43.144478,1951897848501
[''],2025-05-02 15:48:44.146408,1952899793575
