COND,Date/Time,Exact Time [ns]
652.0,2025-05-02 16:31:19.697049,4508450426144
652.0,2025-05-02 16:31:20.697606,4509450967514
653.0,2025-05-02 16:31:21.698033,4510451395569
652.5,2025-05-02 16:31:22.698531,4511451892920
652.3,2025-05-02 16:31:23.699027,4512452389456
650.4,2025-05-02 16:31:24.699456,4513452818715
650.8,2025-05-02 16:31:25.699892,4514453255307
650.8,2025-05-02 16:31:26.700349,4515453711566
651.1,2025-05-02 16:31:27.700958,4516454321862
650.1,2025-05-02 16:31:28.701400,4517454774009
650.0,2025-05-02 16:31:29.701930,4518455293694
650.0,2025-05-02 16:31:30.702366,4519455730267
649.9,2025-05-02 16:31:31.702879,4520456267470
649.8,2025-05-02 16:31:32.703507,4521456869618
649.9,2025-05-02 16:31:33.703942,4522457304358
648.4,2025-05-02 16:31:34.704468,4523457830246
647.9,2025-05-02 16:31:35.704904,4524458266338
648.1,2025-05-02 16:31:36.705332,4525458694912
647.7,2025-05-02 16:31:37.705766,4526459129319
647.3,2025-05-02 16:31:38.706246,4527459608818
647.2,2025-05-02 16:31:39.706725,4528460089336
646.7,2025-05-02 16:31:40.707184,4529460547317
646.7,2025-05-02 16:31:41.707673,4530461035038
646.4,2025-05-02 16:31:42.708161,4531461523538
646.4,2025-05-02 16:31:43.708601,4532461964130
645.7,2025-05-02 16:31:44.709068,4533462430481
646.3,2025-05-02 16:31:45.709560,4534462922129
645.8,2025-05-02 16:31:46.710066,4535463430035
645.8,2025-05-02 16:31:47.710526,4536463888683
646.4,2025-05-02 16:31:48.710974,4537464336460
646.1,2025-05-02 16:31:49.711428,4538464791182
645.3,2025-05-02 16:31:50.711866,4539465242089
646.8,2025-05-02 16:31:51.712331,4540465693940
646.8,2025-05-02 16:31:52.712810,4541466173402
646.1,2025-05-02 16:31:53.713237,4542466599216
646.4,2025-05-02 16:31:54.713668,4543467029697
646.0,2025-05-02 16:31:55.714495,4544467857697
646.9,2025-05-02 16:31:56.714995,4545468357252
646.5,2025-05-02 16:31:57.715431,4546468793973
645.8,2025-05-02 16:31:58.715926,4547469288287
646.4,2025-05-02 16:31:59.716385,4548469747454
645.9,2025-05-02 16:32:00.716848,4549470209546
646.9,2025-05-02 16:32:01.717276,4550470638656
646.9,2025-05-02 16:32:02.718054,4551471416970
647.6,2025-05-02 16:32:03.718812,4552472174451
647.7,2025-05-02 16:32:04.719298,4553472661136
648.7,2025-05-02 16:32:05.720085,4554473447246
649.2,2025-05-02 16:32:06.720880,4555474242838
649.1,2025-05-02 16:32:07.721603,4556474965319
648.7,2025-05-02 16:32:08.722367,4557475729726
649.2,2025-05-02 16:32:09.723069,4558476431762
650.8,2025-05-02 16:32:10.723865,4559477228151
650.8,2025-05-02 16:32:11.724538,4560477900928
651.0,2025-05-02 16:32:12.725010,4561478372816
650.6,2025-05-02 16:32:13.725733,4562479095982
650.9,2025-05-02 16:32:14.726187,4563479550685
651.0,2025-05-02 16:32:15.726918,4564480280888
652.1,2025-05-02 16:32:16.727636,4565480998962
652.3,2025-05-02 16:32:17.728106,4566481468128
651.6,2025-05-02 16:32:18.728885,4567482261090
652.4,2025-05-02 16:32:19.729343,4568482706275
653.0,2025-05-02 16:32:20.729813,4569483175571
655.1,2025-05-02 16:32:21.730539,4570483927292
656.8,2025-05-02 16:32:22.731269,4571484631995
657.0,2025-05-02 16:32:23.731989,4572485351291
657.0,2025-05-02 16:32:24.732456,4573485830105
657.7,2025-05-02 16:32:25.732992,4574486355216
659.4,2025-05-02 16:32:26.733491,4575486854252
659.9,2025-05-02 16:32:27.733955,4576487317622
661.1,2025-05-02 16:32:28.734429,4577487792381
664.0,2025-05-02 16:32:29.734902,4578488264639
662.5,2025-05-02 16:32:30.735641,4579489003805
663.8,2025-05-02 16:32:31.736424,4580489786657
664.5,2025-05-02 16:32:32.736897,4581490259008
665.3,2025-05-02 16:32:33.737347,4582490708026
666.7,2025-05-02 16:32:34.738454,4583491817173
665.9,2025-05-02 16:32:35.738900,4584492264691
667.2,2025-05-02 16:32:36.739375,4585492738487
667.1,2025-05-02 16:32:37.740128,4586493488412
668.1,2025-05-02 16:32:38.741133,4587494496560
667.5,2025-05-02 16:32:39.742970,4588496333633
665.7,2025-05-02 16:32:40.743438,4589496799966
665.8,2025-05-02 16:32:41.744158,4590497518114
667.0,2025-05-02 16:32:42.744556,4591497915687
667.1,2025-05-02 16:32:43.744849,4592498207112
669.4,2025-05-02 16:32:44.748430,4593501794371
669.4,2025-05-02 16:32:45.748941,4594502306000
669.6,2025-05-02 16:32:46.749390,4595502754166
670.3,2025-05-02 16:32:47.749872,4596503236499
672.0,2025-05-02 16:32:48.750791,4597504153480
671.3,2025-05-02 16:32:49.754026,4598507389850
671.9,2025-05-02 16:32:50.755151,4599508509608
670.6,2025-05-02 16:32:51.756286,4600509649478
669.6,2025-05-02 16:32:52.757043,4601510401570
669.3,2025-05-02 16:32:53.757342,4602510706051
667.9,2025-05-02 16:32:54.757875,4603511232958
666.3,2025-05-02 16:32:55.758301,4604511665457
666.2,2025-05-02 16:32:56.758755,4605512118808
666.0,2025-05-02 16:32:57.759243,4606512606252
666.1,2025-05-02 16:32:58.759683,4607513046641
666.2,2025-05-02 16:32:59.760278,4608513636196
664.8,2025-05-02 16:33:00.760707,4609514070991
665.0,2025-05-02 16:33:01.761613,4610514973231
664.7,2025-05-02 16:33:02.761955,4611515316027
665.4,2025-05-02 16:33:03.762290,4612515651286
665.7,2025-05-02 16:33:04.766802,4613520164063
666.0,2025-05-02 16:33:05.767162,4614520522210
666.4,2025-05-02 16:33:06.767499,4615520859228
666.5,2025-05-02 16:33:07.767831,4616521191265
665.8,2025-05-02 16:33:08.768144,4617521502764
666.2,2025-05-02 16:33:09.768470,4618521828190
666.4,2025-05-02 16:33:10.768855,4619522219522
666.7,2025-05-02 16:33:11.769302,4620522664892
667.0,2025-05-02 16:33:12.769736,4621523099132
668.7,2025-05-02 16:33:13.770171,4622523535206
669.6,2025-05-02 16:33:14.770621,4623523984335
669.1,2025-05-02 16:33:15.771094,4624524458816
669.8,2025-05-02 16:33:16.771510,4625524873093
670.0,2025-05-02 16:33:17.771947,4626525311129
669.9,2025-05-02 16:33:18.772389,4627525752203
669.7,2025-05-02 16:33:19.772826,4628526189517
669.5,2025-05-02 16:33:20.773296,4629526660090
667.1,2025-05-02 16:33:21.773786,4630527150442
668.5,2025-05-02 16:33:22.774231,4631527595293
667.2,2025-05-02 16:33:23.774695,4632528059385
666.1,2025-05-02 16:33:24.775142,4633528505588
667.0,2025-05-02 16:33:25.775604,4634528967773
666.9,2025-05-02 16:33:26.776036,4635529400198
666.3,2025-05-02 16:33:27.776475,4636529838734
667.1,2025-05-02 16:33:28.776914,4637530277123
667.4,2025-05-02 16:33:29.777371,4638530734992
665.8,2025-05-02 16:33:30.777872,4639531235899
666.1,2025-05-02 16:33:31.778322,4640531685121
666.3,2025-05-02 16:33:32.778767,4641532130472
665.3,2025-05-02 16:33:33.779265,4642532628157
664.9,2025-05-02 16:33:34.779699,4643533063119
663.9,2025-05-02 16:33:35.780152,4644533515267
664.5,2025-05-02 16:33:36.780605,4645533968988
