COND,Date/Time,Exact Time [ns]
0.0,2025-05-02 15:35:06.379493,1135132867395
0.0,2025-05-02 15:35:07.379891,1136133251821
0.0,2025-05-02 15:35:08.380213,1137133573802
0.0,2025-05-02 15:35:09.380523,1138133883560
0.0,2025-05-02 15:35:10.380875,1139134237078
0.0,2025-05-02 15:35:11.381219,1140134579818
0.0,2025-05-02 15:35:12.381607,1141134967040
0.0,2025-05-02 15:35:13.381921,1142135280669
0.0,2025-05-02 15:35:14.382225,1143135585539
0.0,2025-05-02 15:35:15.382593,1144135955520
0.0,2025-05-02 15:35:16.382951,1145136310445
0.0,2025-05-02 15:35:17.383251,1146136610704
0.0,2025-05-02 15:35:18.383568,1147136927999
0.0,2025-05-02 15:35:19.383867,1148137271425
0.0,2025-05-02 15:35:20.384209,1149137569017
0.0,2025-05-02 15:35:21.387792,1150141152349
0.0,2025-05-02 15:35:22.388112,1151141472164
0.0,2025-05-02 15:35:23.388466,1152141826126
0.0,2025-05-02 15:35:24.388800,1153142159496
0.0,2025-05-02 15:35:25.389149,1154142509384
0.0,2025-05-02 15:35:26.389492,1155142852291
0.0,2025-05-02 15:35:27.389808,1156143168013
0.0,2025-05-02 15:35:28.390110,1157143469901
0.0,2025-05-02 15:35:29.390414,1158143774382
0.0,2025-05-02 15:35:30.390762,1159144123455
0.0,2025-05-02 15:35:31.391086,1160144446492
0.0,2025-05-02 15:35:32.391395,1161144754621
0.0,2025-05-02 15:35:33.391701,1162145061398
0.0,2025-05-02 15:35:34.392064,1163145425008
0.0,2025-05-02 15:35:35.392387,1164145748508
0.0,2025-05-02 15:35:36.392716,1165146077415
0.0,2025-05-02 15:35:37.393032,1166146392173
0.0,2025-05-02 15:35:38.393342,1167146703247
0.0,2025-05-02 15:35:39.393694,1168147056579
0.0,2025-05-02 15:35:40.394019,1169147380523
0.0,2025-05-02 15:35:41.394396,1170147758504
0.0,2025-05-02 15:35:42.394736,1171148096985
0.0,2025-05-02 15:35:43.395038,1172148398447
0.0,2025-05-02 15:35:44.395346,1173148707336
0.0,2025-05-02 15:35:45.395666,1174149027669
0.0,2025-05-02 15:35:46.396003,1175149365705
0.0,2025-05-02 15:35:47.396374,1176149736538
0.0,2025-05-02 15:35:48.396742,1177150102426
0.0,2025-05-02 15:35:49.397041,1178150401370
0.0,2025-05-02 15:35:50.397336,1179150696240
0.0,2025-05-02 15:35:51.397673,1180151036054
0.0,2025-05-02 15:35:52.398038,1181151401312
0.0,2025-05-02 15:35:53.398365,1182151726071
0.0,2025-05-02 15:35:54.398684,1183152044978
0.0,2025-05-02 15:35:55.399062,1184152423292
0.0,2025-05-02 15:35:56.399428,1185152791384
0.0,2025-05-02 15:35:57.399775,1186153135347
0.0,2025-05-02 15:35:58.400087,1187153447698
0.0,2025-05-02 15:35:59.400407,1188153769068
0.0,2025-05-02 15:36:00.400728,1189154088382
0.0,2025-05-02 15:36:01.401078,1190154440363
0.0,2025-05-02 15:36:02.401457,1191154817455
0.0,2025-05-02 15:36:03.401766,1192155126213
