PRES,Date/Time,Exact Time [ns]
"102,179,108,102,103,101",2025-05-02 16:08:42.288326,3151041703916
"102,179,106,102,104,102",2025-05-02 16:08:43.288826,3152042189786
"102,180,108,102,104,102",2025-05-02 16:08:44.289296,3153042659008
"102,179,106,102,103,101",2025-05-02 16:08:45.289697,3154043059655
"102,179,108,101,104,101",2025-05-02 16:08:46.290091,3155043453543
"102,180,108,103,105,101",2025-05-02 16:08:47.290489,3156043851691
"102,179,106,102,104,101",2025-05-02 16:08:48.290886,3157044247875
"102,179,108,103,104,101",2025-05-02 16:08:49.291277,3158044639727
"103,178,106,103,104,102",2025-05-02 16:08:50.291690,3159045053189
"103,179,108,102,104,101",2025-05-02 16:08:51.292089,3160045451651
"102,179,108,102,103,101",2025-05-02 16:08:52.292476,3161045838706
"102,179,106,101,104,101",2025-05-02 16:08:53.292919,3162046281150
"102,179,108,102,104,101",2025-05-02 16:08:54.293311,3163046673705
"103,180,108,102,104,101",2025-05-02 16:08:55.293709,3164047071501
"102,179,109,102,104,101",2025-05-02 16:08:56.294096,3165047458611
