COND,Date/Time,Exact Time [ns]
0.0,2025-05-02 16:10:40.992517,3269745898345
0.0,2025-05-02 16:10:41.993124,3270746496734
0.0,2025-05-02 16:10:42.993663,3271747035326
0.0,2025-05-02 16:10:43.994167,3272747532029
0.0,2025-05-02 16:10:44.994704,3273748088565
0.0,2025-05-02 16:10:45.995171,3274748534639
0.0,2025-05-02 16:10:46.995628,3275749007768
0.0,2025-05-02 16:10:47.996085,3276749448971
0.0,2025-05-02 16:10:48.996511,3277749874767
0.0,2025-05-02 16:10:49.996958,3278750322136
0.0,2025-05-02 16:10:50.997420,3279750784062
0.0,2025-05-02 16:10:51.997936,3280751300024
0.0,2025-05-02 16:10:52.998400,3281751763709
0.0,2025-05-02 16:10:53.998836,3282752199671
0.0,2025-05-02 16:10:54.999275,3283752653930
0.0,2025-05-02 16:10:55.999745,3284753108855
0.0,2025-05-02 16:10:57.000287,3285753650484
0.0,2025-05-02 16:10:58.000719,3286754083057
0.0,2025-05-02 16:10:59.001151,3287754515279
0.0,2025-05-02 16:11:00.001661,3288755025408
0.0,2025-05-02 16:11:01.002138,3289755516167
0.0,2025-05-02 16:11:02.002707,3290756071240
0.0,2025-05-02 16:11:03.003187,3291756551814
0.0,2025-05-02 16:11:04.003627,3292756992072
0.0,2025-05-02 16:11:05.004065,3293757429183
0.0,2025-05-02 16:11:06.004494,3294757857553
