PRES,Date/Time,Exact Time [ns]
"102,179,105,102,102,101",2025-05-02 16:10:40.999413,3269752800901
"102,180,105,101,103,101",2025-05-02 16:10:41.999966,3270753329734
"102,180,109,102,103,101",2025-05-02 16:10:43.000415,3271753777437
"102,180,110,102,103,101",2025-05-02 16:10:44.000814,3272754176140
"102,180,108,102,103,101",2025-05-02 16:10:45.001261,3273754623491
"102,180,108,101,103,101",2025-05-02 16:10:46.001698,3274755059861
"102,181,109,102,103,101",2025-05-02 16:10:47.002085,3275755446564
"102,179,108,102,103,101",2025-05-02 16:10:48.002483,3276755845286
"102,178,109,101,103,101",2025-05-02 16:10:49.002929,3277756292322
"102,180,108,102,103,101",2025-05-02 16:10:50.003331,3278756693914
"102,180,110,102,103,101",2025-05-02 16:10:51.003724,3279757086451
"102,179,109,101,104,101",2025-05-02 16:10:52.004127,3280757490654
"102,180,107,101,103,101",2025-05-02 16:10:53.004538,3281757900486
"102,180,101,102,103,101",2025-05-02 16:10:54.004932,3282758294412
,2025-05-02 16:10:55.006520,3283759883207
"103,180,106,102,103,101",2025-05-02 16:10:56.006955,3284760319429
"102,180,108,102,103,101",2025-05-02 16:10:57.007352,3285760714243
"102,180,108,101,103,101",2025-05-02 16:10:58.007737,3286761100724
"102,179,105,102,103,101",2025-05-02 16:10:59.008163,3287761525038
"102,177,108,102,102,101",2025-05-02 16:11:00.008549,3288761911390
"102,177,110,102,103,101",2025-05-02 16:11:01.008971,3289762334352
"102,177,109,102,103,101",2025-05-02 16:11:02.009366,3290762728555
"102,178,108,102,103,102",2025-05-02 16:11:03.009758,3291763121091
"102,179,105,102,103,101",2025-05-02 16:11:04.010151,3292763514332
"103,179,108,102,103,101",2025-05-02 16:11:05.010536,3293763897905
"106,179,108,102,102,101",2025-05-02 16:11:06.010971,3294764335256
