PRES,Date/Time,Exact Time [ns]
[''],2025-05-02 15:50:04.366426,2033119812360
[''],2025-05-02 15:50:05.368521,2034121889749
[''],2025-05-02 15:50:06.370049,2035123417378
[''],2025-05-02 15:50:07.371023,2036124387173
[''],2025-05-02 15:50:08.372659,2037126022136
[''],2025-05-02 15:50:09.374275,2038127638061
[''],2025-05-02 15:50:10.375109,2039128473301
[''],2025-05-02 15:50:11.376731,2040130096004
[''],2025-05-02 15:50:12.378411,2041131774670
[''],2025-05-02 15:50:13.379982,2042133345318
[''],2025-05-02 15:50:14.381627,2043134989725
[''],2025-05-02 15:50:15.383204,2044136568039
[''],2025-05-02 15:50:16.384818,2045138181853
[''],2025-05-02 15:50:17.386411,2046139774186
[''],2025-05-02 15:50:18.387975,2047141338926
[''],2025-05-02 15:50:19.389582,2048142945685
[''],2025-05-02 15:50:20.391034,2049144399480
[''],2025-05-02 15:50:21.392624,2050145988295
[''],2025-05-02 15:50:22.394231,2051147596553
[''],2025-05-02 15:50:23.395044,2052148407053
[''],2025-05-02 15:50:24.396630,2053149994978
[''],2025-05-02 15:50:25.398297,2054151660237
[''],2025-05-02 15:50:26.399908,2055153273032
[''],2025-05-02 15:50:27.401512,2056154874754
[''],2025-05-02 15:50:28.403073,2057156436068
[''],2025-05-02 15:50:29.404680,2058158044068
[''],2025-05-02 15:50:30.406245,2059159608808
[''],2025-05-02 15:50:31.407037,2060160400955
[''],2025-05-02 15:50:32.408620,2061161982936
[''],2025-05-02 15:50:33.410196,2062163560047
[''],2025-05-02 15:50:34.411759,2063165122602
[''],2025-05-02 15:50:35.413387,2064166750638
[''],2025-05-02 15:50:36.415005,2065168368563
[''],2025-05-02 15:50:37.416626,2066169989618
[''],2025-05-02 15:50:38.418198,2067171561821
[''],2025-05-02 15:50:39.419815,2068173178376
[''],2025-05-02 15:50:40.421391,2069174753709
[''],2025-05-02 15:50:41.422981,2070176345894
[''],2025-05-02 15:50:42.424567,2071177930060
[''],2025-05-02 15:50:43.426131,2072179495318
[''],2025-05-02 15:50:44.427044,2073180407744
[''],2025-05-02 15:50:45.428615,2074181978391
[''],2025-05-02 15:50:46.430233,2075183596798
[''],2025-05-02 15:50:47.431814,2076185176816
[''],2025-05-02 15:50:48.433402,2077186765204
[''],2025-05-02 15:50:49.435001,2078188364148
[''],2025-05-02 15:50:50.436580,2079189944444
[''],2025-05-02 15:50:51.438167,2080191529573
[''],2025-05-02 15:50:52.439737,2081193100202
[''],2025-05-02 15:50:53.441313,2082194677201
[''],2025-05-02 15:50:54.442900,2083196265108
[''],2025-05-02 15:50:55.444479,2084197841756
[''],2025-05-02 15:50:56.446065,2085199428329
[''],2025-05-02 15:50:57.447045,2086200408847
[''],2025-05-02 15:50:58.448660,2087202023309
[''],2025-05-02 15:50:59.450234,2088203596735
[''],2025-05-02 15:51:00.451810,2089205173882
[''],2025-05-02 15:51:01.453401,2090206763641
[''],2025-05-02 15:51:02.455003,2091208366455
[''],2025-05-02 15:51:03.456632,2092209995714
[''],2025-05-02 15:51:04.458214,2093211576787
[''],2025-05-02 15:51:05.459863,2094213228620
[''],2025-05-02 15:51:06.461844,2095215209175
[''],2025-05-02 15:51:07.463458,2096216822693
[''],2025-05-02 15:51:08.465079,2097218442711
[''],2025-05-02 15:51:09.466700,2098220064747
[''],2025-05-02 15:51:10.468296,2099221660506
[''],2025-05-02 15:51:11.469888,2100223251913
[''],2025-05-02 15:51:12.471480,2101224842634
[''],2025-05-02 15:51:13.473143,2102226575541
[''],2025-05-02 15:51:14.474950,2103228314467
[''],2025-05-02 15:51:15.476602,2104229966855
[''],2025-05-02 15:51:16.478333,2105231696465
[''],2025-05-02 15:51:17.479132,2106232496335
[''],2025-05-02 15:51:18.480802,2107234165649
