TEMP,Date/Time,Exact Time [ns]
22.343,2025-05-02 16:33:05.766639,4614520020803
22.349,2025-05-02 16:33:06.767073,4615520437006
22.355,2025-05-02 16:33:07.767501,4616520864746
22.36,2025-05-02 16:33:08.767917,4617521280616
22.365,2025-05-02 16:33:09.768369,4618521732727
22.37,2025-05-02 16:33:10.768855,4619522219226
22.374,2025-05-02 16:33:11.769302,4620522664670
22.378,2025-05-02 16:33:12.769736,4621523099280
22.381,2025-05-02 16:33:13.770171,4622523534983
22.383,2025-05-02 16:33:14.770621,4623523984520
22.386,2025-05-02 16:33:15.771094,4624524458705
22.388,2025-05-02 16:33:16.771510,4625524873889
22.39,2025-05-02 16:33:17.771947,4626525311166
22.391,2025-05-02 16:33:18.772389,4627525751758
22.391,2025-05-02 16:33:19.772826,4628526189313
22.39,2025-05-02 16:33:20.773296,4629526659739
22.388,2025-05-02 16:33:21.773786,4630527150442
22.386,2025-05-02 16:33:22.774231,4631527595386
22.384,2025-05-02 16:33:23.774695,4632528058848
22.381,2025-05-02 16:33:24.775142,4633528505792
22.378,2025-05-02 16:33:25.775604,4634528967810
22.376,2025-05-02 16:33:26.776036,4635529400031
22.373,2025-05-02 16:33:27.776475,4636529838549
22.37,2025-05-02 16:33:28.776914,4637530276919
22.367,2025-05-02 16:33:29.777371,4638530735307
22.364,2025-05-02 16:33:30.777872,4639531236233
22.361,2025-05-02 16:33:31.778321,4640531685010
22.357,2025-05-02 16:33:32.778767,4641532130583
22.352,2025-05-02 16:33:33.779265,4642532628805
22.348,2025-05-02 16:33:34.779699,4643533063286
22.343,2025-05-02 16:33:35.780152,4644533515063
22.339,2025-05-02 16:33:36.780605,4645533968748
22.334,2025-05-02 16:33:37.781050,4646534413636
22.329,2025-05-02 16:33:38.781498,4647534861320
22.326,2025-05-02 16:33:39.781943,4648535306783
22.321,2025-05-02 16:33:40.782404,4649535767967
22.318,2025-05-02 16:33:41.782903,4650536267504
22.313,2025-05-02 16:33:42.783437,4651536799800
22.31,2025-05-02 16:33:43.783910,4652537273817
22.307,2025-05-02 16:33:44.784461,4653537824484
22.304,2025-05-02 16:33:45.785607,4654538980464
22.301,2025-05-02 16:33:46.785974,4655539336445
22.299,2025-05-02 16:33:47.786411,4656539768667
22.296,2025-05-02 16:33:48.786785,4657540145203
22.294,2025-05-02 16:33:49.787148,4658540508295
22.291,2025-05-02 16:33:50.787488,4659540849313
22.289,2025-05-02 16:33:51.787845,4660541203479
22.287,2025-05-02 16:33:52.788187,4661541558386
22.286,2025-05-02 16:33:53.788526,4662541890774
22.285,2025-05-02 16:33:54.789072,4663542441107
22.283,2025-05-02 16:33:55.789594,4664542957810
22.282,2025-05-02 16:33:56.790103,4665543466328
22.281,2025-05-02 16:33:57.790547,4666543910328
22.28,2025-05-02 16:33:58.791330,4667544690271
22.279,2025-05-02 16:33:59.791646,4668545010863
22.278,2025-05-02 16:34:00.792151,4669545515141
22.276,2025-05-02 16:34:01.792606,4670545970047
22.275,2025-05-02 16:34:02.793084,4671546448510
22.273,2025-05-02 16:34:03.793565,4672546928120
22.272,2025-05-02 16:34:04.794049,4673547413286
22.27,2025-05-02 16:34:05.794601,4674547966304
22.269,2025-05-02 16:34:06.795100,4675548464822
22.268,2025-05-02 16:34:07.795588,4676548952136
22.267,2025-05-02 16:34:08.796127,4677549491691
22.268,2025-05-02 16:34:09.796615,4678549978839
22.267,2025-05-02 16:34:10.797117,4679550481746
22.266,2025-05-02 16:34:11.797605,4680550970171
22.266,2025-05-02 16:34:12.798092,4681551456596
22.266,2025-05-02 16:34:13.798580,4682551944929
22.265,2025-05-02 16:34:14.799081,4683552445743
22.264,2025-05-02 16:34:15.799601,4684552965206
22.262,2025-05-02 16:34:16.800093,4685553457279
22.261,2025-05-02 16:34:17.800954,4686554319631
22.259,2025-05-02 16:34:18.801456,4687554820000
22.256,2025-05-02 16:34:19.801947,4688555311148
22.252,2025-05-02 16:34:20.802485,4689555848777
22.246,2025-05-02 16:34:21.802975,4690556339276
22.239,2025-05-02 16:34:22.803441,4691556805572
22.229,2025-05-02 16:34:23.804341,4692557701812
22.218,2025-05-02 16:34:24.804954,4693558314626
22.205,2025-05-02 16:34:25.805293,4694558651755
22.191,2025-05-02 16:34:26.805734,4695559099755
22.176,2025-05-02 16:34:27.806203,4696559566273
22.16,2025-05-02 16:34:28.806719,4697560084068
22.143,2025-05-02 16:34:29.807534,4698560893846
22.127,2025-05-02 16:34:30.808039,4699561404623
22.112,2025-05-02 16:34:31.808887,4700562246696
22.097,2025-05-02 16:34:32.809406,4701562771529
22.082,2025-05-02 16:34:33.809970,4702563333158
22.069,2025-05-02 16:34:34.810791,4703564148880
22.057,2025-05-02 16:34:35.811191,4704564554157
22.045,2025-05-02 16:34:36.811970,4705565330156
22.035,2025-05-02 16:34:37.812322,4706565684563
22.025,2025-05-02 16:34:38.812623,4707565980285
22.015,2025-05-02 16:34:39.813069,4708566431914
22.006,2025-05-02 16:34:40.813520,4709566882395
21.999,2025-05-02 16:34:41.813978,4710567343116
21.992,2025-05-02 16:34:42.814460,4711567825264
21.986,2025-05-02 16:34:43.814962,4712568327300
21.98,2025-05-02 16:34:44.815463,4713568828577
21.974,2025-05-02 16:34:45.816290,4714569651262
21.97,2025-05-02 16:34:46.816741,4715570105521
21.965,2025-05-02 16:34:47.817546,4716570907687
21.96,2025-05-02 16:34:48.818010,4717571374945
21.957,2025-05-02 16:34:49.818521,4718571886074
21.953,2025-05-02 16:34:50.819326,4719572691555
21.95,2025-05-02 16:34:51.820112,4720573472369
21.947,2025-05-02 16:34:52.820555,4721573920258
21.944,2025-05-02 16:34:53.821351,4722574711979
21.941,2025-05-02 16:34:54.821804,4723575168701
21.939,2025-05-02 16:34:55.822303,4724575667219
21.937,2025-05-02 16:34:56.822803,4725576168200
21.936,2025-05-02 16:34:57.823290,4726576654551
21.935,2025-05-02 16:34:58.823826,4727577190865
21.933,2025-05-02 16:34:59.824323,4728577687661
21.933,2025-05-02 16:35:00.825250,4729578611753
21.932,2025-05-02 16:35:01.825872,4730579230882
21.932,2025-05-02 16:35:02.826294,4731579658289
21.933,2025-05-02 16:35:03.827198,4732580564233
21.933,2025-05-02 16:35:04.827691,4733581055102
21.933,2025-05-02 16:35:05.828942,4734582306435
21.934,2025-05-02 16:35:06.829476,4735582841305
21.936,2025-05-02 16:35:07.830368,4736583729101
21.939,2025-05-02 16:35:08.830981,4737584338989
21.941,2025-05-02 16:35:09.831408,4738584772840
21.944,2025-05-02 16:35:10.832266,4739585631099
21.946,2025-05-02 16:35:11.833191,4740586552024
21.95,2025-05-02 16:35:12.833819,4741587178301
21.953,2025-05-02 16:35:13.834267,4742587632764
