TEMP,Date/Time,Exact Time [ns]
27.646,2025-05-02 16:05:03.246095,2931999475861
27.657,2025-05-02 16:05:04.246690,2933000055491
27.667,2025-05-02 16:05:05.247193,2934000557379
27.678,2025-05-02 16:05:06.247675,2935001038341
27.687,2025-05-02 16:05:07.248190,2936001554989
27.696,2025-05-02 16:05:08.249020,2937002387266
27.704,2025-05-02 16:05:09.249842,2938003206599
27.713,2025-05-02 16:05:10.250685,2939004050765
27.72,2025-05-02 16:05:11.251424,2940004789246
27.727,2025-05-02 16:05:12.252197,2941005560856
27.734,2025-05-02 16:05:13.253457,2942006820244
27.741,2025-05-02 16:05:14.254671,2943008034818
