TEMP,Date/Time,Exact Time [ns]
33.7,2025-05-02 15:35:06.365395,1135118773284
33.695,2025-05-02 15:35:07.366526,1136119889525
33.687,2025-05-02 15:35:08.366966,1137120328783
33.681,2025-05-02 15:35:09.367462,1138120825227
33.674,2025-05-02 15:35:10.367887,1139121250189
33.666,2025-05-02 15:35:11.372448,1140125812448
33.657,2025-05-02 15:35:12.372876,1141126239281
33.649,2025-05-02 15:35:13.373270,1142126633114
33.638,2025-05-02 15:35:14.373661,1143127025391
33.628,2025-05-02 15:35:15.374155,1144127518242
33.621,2025-05-02 15:35:16.374611,1145127974741
33.613,2025-05-02 15:35:17.375036,1146128400426
33.6,2025-05-02 15:35:18.375443,1147128805351
33.589,2025-05-02 15:35:19.375838,1148129201203
33.579,2025-05-02 15:35:20.376237,1149129600146
33.568,2025-05-02 15:35:21.376658,1150130022609
33.557,2025-05-02 15:35:22.377077,1151130439349
33.545,2025-05-02 15:35:23.377473,1152130836867
33.534,2025-05-02 15:35:24.377883,1153131246014
33.519,2025-05-02 15:35:25.378311,1154131673384
33.505,2025-05-02 15:35:26.378694,1155132057754
33.491,2025-05-02 15:35:27.379129,1156132492068
33.477,2025-05-02 15:35:28.379516,1157132878790
33.462,2025-05-02 15:35:29.379900,1158133263900
33.448,2025-05-02 15:35:30.380293,1159133657270
33.433,2025-05-02 15:35:31.380700,1160134063769
33.418,2025-05-02 15:35:32.381088,1161134450639
33.403,2025-05-02 15:35:33.381511,1162134874028
33.388,2025-05-02 15:35:34.381923,1163135285638
33.374,2025-05-02 15:35:35.382348,1164135710415
33.36,2025-05-02 15:35:36.382747,1165136109989
33.346,2025-05-02 15:35:37.383143,1166136504858
33.333,2025-05-02 15:35:38.383520,1167136882580
33.321,2025-05-02 15:35:39.383914,1168137276709
33.309,2025-05-02 15:35:40.384295,1169137658412
33.296,2025-05-02 15:35:41.384695,1170138057301
33.283,2025-05-02 15:35:42.385123,1171138487170
33.265,2025-05-02 15:35:43.385524,1172138887559
33.248,2025-05-02 15:35:44.385915,1173139278465
33.232,2025-05-02 15:35:45.386339,1174139703539
33.213,2025-05-02 15:35:46.386745,1175140108872
33.193,2025-05-02 15:35:47.387196,1176140560371
33.171,2025-05-02 15:35:48.387592,1177140953611
33.147,2025-05-02 15:35:49.387970,1178141334296
33.128,2025-05-02 15:35:50.388397,1179141759536
33.109,2025-05-02 15:35:51.388816,1180142180202
33.092,2025-05-02 15:35:52.389271,1181142633850
33.073,2025-05-02 15:35:53.389656,1182143018590
33.058,2025-05-02 15:35:54.390049,1183143412108
33.043,2025-05-02 15:35:55.390430,1184143792477
33.028,2025-05-02 15:35:56.390815,1185144178143
33.014,2025-05-02 15:35:57.391293,1186144656550
33.002,2025-05-02 15:35:58.391690,1187145052439
32.988,2025-05-02 15:35:59.392137,1188145500049
32.975,2025-05-02 15:36:00.392535,1189145899141
32.96,2025-05-02 15:36:01.392940,1190146304585
32.946,2025-05-02 15:36:02.393389,1191146751807
32.934,2025-05-02 15:36:03.393797,1192147161936
32.921,2025-05-02 15:36:04.394188,1193147551102
32.911,2025-05-02 15:36:05.394585,1194147947842
32.901,2025-05-02 15:36:06.394980,1195148343230
32.892,2025-05-02 15:36:07.395426,1196148789007
32.887,2025-05-02 15:36:08.395848,1197149211340
32.881,2025-05-02 15:36:09.396238,1198149600932
32.874,2025-05-02 15:36:10.396631,1199149994709
32.869,2025-05-02 15:36:11.397039,1200150403560
32.862,2025-05-02 15:36:12.397489,1201150852023
32.857,2025-05-02 15:36:13.397864,1202151227930
32.844,2025-05-02 15:36:14.398244,1203151607596
32.834,2025-05-02 15:36:15.398642,1204152019762
32.817,2025-05-02 15:36:16.399051,1205152414391
32.805,2025-05-02 15:36:17.399531,1206152894446
32.792,2025-05-02 15:36:18.399921,1207153284149
32.777,2025-05-02 15:36:19.400304,1208153667537
32.76,2025-05-02 15:36:20.400672,1209154034370
32.743,2025-05-02 15:36:21.401063,1210154426906
32.724,2025-05-02 15:36:22.401502,1211154864572
32.704,2025-05-02 15:36:23.401906,1212155270072
32.684,2025-05-02 15:36:24.402303,1213155665942
32.665,2025-05-02 15:36:25.402695,1214156058071
32.647,2025-05-02 15:36:26.403070,1215156433144
32.629,2025-05-02 15:36:27.403467,1216156831143
32.614,2025-05-02 15:36:28.403856,1217157219198
32.597,2025-05-02 15:36:29.404280,1218157642716
32.581,2025-05-02 15:36:30.404740,1219158103938
32.563,2025-05-02 15:36:31.405135,1220158498697
