PRES,Date/Time,Exact Time [ns]
"104,102,109,102,102,103",2025-05-02 16:24:01.032742,4069786121609
"103,102,111,102,102,103",2025-05-02 16:24:02.033295,4070786658998
"103,102,112,102,102,103",2025-05-02 16:24:03.033748,4071787111756
"103,102,112,102,102,103",2025-05-02 16:24:04.034251,4072787614867
"104,99,114,102,102,103",2025-05-02 16:24:05.034700,4073788064977
"103,102,112,102,102,103",2025-05-02 16:24:06.035130,4074788494458
"102,102,115,103,102,102",2025-05-02 16:24:07.035582,4075788944939
"103,103,112,102,102,103",2025-05-02 16:24:08.036000,4076789362735
"102,102,112,102,102,103",2025-05-02 16:24:09.036427,4077789791364
"103,103,113,103,102,102",2025-05-02 16:24:10.036878,4078790241974
"103,102,112,102,103,103",2025-05-02 16:24:11.037303,4079790666992
"102,102,112,103,102,103",2025-05-02 16:24:12.037786,4080791149362
